matriculation,marque,modele,annee,carburant
10394-أ-33,Renault,Kangoo,2022,Diesel
94832-ب-6,Toyota,Corolla,2024,Essence
52391-أ-26,Peugeot,208,2021,Essence
14925-ط-50,Kia,Picanto,2020,Essence
39501-س-6,Dacia,Duster,2015,Diesel
71822-و-15,Volkswagen,Tiguan,2018,Diesel
90381-ب-33,Hyundai,i10,2021,Essence
10293-ط-45,Renault,Clio,2017,Diesel
39481-أ-44,Fiat,Panda,2023,Essence
72891-د-2,Peugeot,3008,2022,Diesel
49581-ب-60,Dacia,Sandero,2011,Diesel
10394-س-50,Volkswagen,Passat,2024,Diesel
94832-ط-33,Renault,Megane,2020,Essence
52391-و-55,Kia,Sportage,2023,Diesel
14925-أ-72,Ford,Fiesta,2019,Essence
39501-ط-15,Toyota,RAV4,2016,Diesel
71822-ب-1,Volkswagen,Golf,2012,Diesel
90381-أ-20,Peugeot,Partner,2021,Diesel
10293-س-40,Renault,Clio,2015,Diesel
39481-d-55,Dacia,Sandero,2016,Diesel
Matricule,Marque,Modele,Annee,Carburant
"14392-أ-1","Dacia","Logan",2015,"Diesel"
"85906-ب-6","Renault","Clio",2018,"Essence"
"62898-د-55","Peugeot","208",2021,"Essence"
"70341-هـ-48","Volkswagen","Golf",2014,"Diesel"
"19131-س-48","Kia","Sportage",2019,"Diesel"
"83651-ط-6","Ford","Fiesta",2020,"Essence"
"30612-و-2","Toyota","Yaris",2017,"Essence"
"78560-م-60","Hyundai","i30",2016,"Diesel"
"62963-ي-33","Citroen","C3",2022,"Essence"
"38075-أ-44","Dacia","Duster",2013,"Diesel"
"1859-ب-45","Volkswagen","Passat",2011,"Diesel"
"61989-د-72","Peugeot","Partner",2018,"Diesel"
"89298-هـ-58","Fiat","500",2023,"Essence"
"14264-س-45","Renault","Kangoo",2020,"Diesel"
"8119-ط-26","Toyota","RAV4",2024,"Diesel"
"10002-و-58","Kia","Picanto",2015,"Essence"
"72535-م-33","Volkswagen","Tiguan",2019,"Diesel"
"53713-ي-15","Hyundai","Tucson",2021,"Diesel"
"79901-أ-55","Ford","Focus",2018,"Diesel"
"98188-ب-40","Renault","Megane",2025,"Diesel"
"7107-د-1","Peugeot","3008",2017,"Diesel"
"35118-هـ-2","Dacia","Sandero",2016,"Diesel"
"43152-س-60","Fiat","Doblo",2013,"Diesel"
"69801-ط-50","Volkswagen","Caddy",2022,"Diesel"
"83401-و-72","Citroen","Berlingo",2024,"Diesel"
"90022-م-15","Toyota","Hilux",2012,"Diesel"
"89360-ي-60","Ford","Ranger",2020,"Diesel"
"51234-أ-38","Fiat","Panda",2019,"Essence"
"32115-ب-50","Hyundai","Santa Fe",2011,"Diesel"
"19213-د-26","Peugeot","2008",2023,"Essence"
"49581-هـ-7","Renault","Captur",2021,"Diesel"
"31888-س-40","Volkswagen","Polo",2022,"Essence"
"90382-ط-44","Kia","Sorento",2024,"Diesel"
"83912-و-45","Dacia","Dokker",2016,"Diesel"
"50931-م-54","Fiat","Fiorino",2015,"Diesel"
"19932-ي-55","Citroen","C5 Aircross",2020,"Diesel"
"81023-أ-58","Toyota","Corolla",2018,"Essence"
"90342-ب-1","Renault","Clio",2013,"Essence"
"59188-د-6","Dacia","Logan",2021,"Diesel"
"69822-هـ-55","Volkswagen","Golf",2015,"Diesel"
"71025-س-48","Peugeot","Partner",2017,"Diesel"
"19323-ط-48","Hyundai","i10",2019,"Essence"
"51924-و-6","Kia","Sportage",2022,"Diesel"
"40103-م-2","Ford","Fiesta",2020,"Essence"
"71420-ي-60","Volkswagen","Passat",2014,"Diesel"
"39188-أ-33","Toyota","RAV4",2025,"Diesel"
"38101-ب-44","Dacia","Duster",2018,"Diesel"
"52391-د-72","Peugeot","308",2016,"Diesel"
"91124-هـ-15","Renault","Kangoo",2023,"Diesel"
"39502-س-58","Fiat","500",2021,"Essence"
"71025-ط-45","Volkswagen","Tiguan",2012,"Diesel"
"52898-و-26","Hyundai","i30",2017,"Diesel"
"14392-م-58","Kia","Picanto",2024,"Essence"
"90312-ي-33","Ford","Kuga",2019,"Diesel"
"49581-أ-15","Volkswagen","Golf",2025,"Diesel"
"52311-ب-55","Peugeot","Partner",2020,"Diesel"
"10342-د-40","Renault","Clio",2022,"Essence"
"94382-هـ-55","Dacia","Sandero",2023,"Diesel"
"71891-س-72","Volkswagen","Caddy",2014,"Diesel"
"14300-ط-1","Kia","Sportage",2016,"Diesel"
"89311-و-6","Ford","Focus",2021,"Diesel"
"10291-م-50","Toyota","Yaris",2013,"Essence"
"35118-ي-15","Dacia","Logan",2019,"Diesel"
"52918-أ-60","Renault","Megane",2018,"Essence"
"39211-ب-38","Fiat","Doblo",2015,"Diesel"
"10382-د-50","Hyundai","Tucson",2017,"Diesel"
"49201-هـ-26","Peugeot","2008",2024,"Essence"
"10394-س-7","Dacia","Sandero",2016,"Diesel"
"94832-ط-40","Renault","Captur",2020,"Diesel"
"72018-و-21","Volkswagen","Polo",2012,"Essence"
"14925-م-15","Fiat","Panda",2022,"Essence"
"39501-ي-54","Peugeot","3008",2021,"Diesel"
"52898-أ-2","Toyota","Hilux",2023,"Diesel"
"94832-ب-15","Ford","Ranger",2019,"Diesel"
"10293-د-58","Citroen","C3",2016,"Essence"
"39182-هـ-48","Volkswagen","Passat",2025,"Diesel"
"49281-س-20","Dacia","Dokker",2022,"Diesel"
"52391-ط-36","Renault","Kangoo",2015,"Diesel"
"14921-و-38","Kia","Sorento",2024,"Diesel"
"39501-م-54","Hyundai","Santa Fe",2013,"Diesel"
"71822-ي-55","Peugeot","208",2020,"Essence"
"90381-أ-60","Dacia","Sandero",2019,"Diesel"
"10293-ب-45","Volkswagen","Golf",2012,"Diesel"
"39481-د-40","Renault","Clio",2014,"Essence"
"72891-هـ-44","Fiat","500",2021,"Essence"
"49581-س-33","Peugeot","Partner",2018,"Diesel"
"10394-ط-50","Toyota","RAV4",2022,"Diesel"
"94832-و-26","Dacia","Duster",2015,"Diesel"
"52391-م-2","Volkswagen","Tiguan",2017,"Diesel"
"14925-ي-72","Kia","Picanto",2023,"Essence"
"39501-أ-6","Ford","Fiesta",2016,"Essence"
"71822-ب-15","Renault","Kangoo",2020,"Diesel"
"90381-د-60","Peugeot","308",2014,"Diesel"
"10293-هـ-72","Citroen","Berlingo",2025,"Diesel"
"39481-س-1","Dacia","Logan",2011,"Diesel"
"72891-ط-2","Volkswagen","Golf",2021,"Diesel"
"49581-و-6","Renault","Megane",2020,"Diesel"
"10394-م-15","Kia","Sportage",2024,"Diesel"
"94832-ي-55","Ford","Focus",2018,"Essence"
"52391-أ-48","Hyundai","i30",2019,"Diesel"
"14925-ب-48","Toyota","Yaris",2013,"Essence"
"39501-د-6","Dacia","Duster",2012,"Diesel"
"71822-هـ-58","Volkswagen","Passat",2022,"Diesel"
"90381-س-36","Peugeot","Partner",2015,"Diesel"
"10293-ط-38","Fiat","Doblo",2016,"Diesel"
"39481-و-50","Dacia","Sandero",2017,"Diesel"
"38112-م-1","Volkswagen","Passat",2019,"Diesel"
"14332-ي-6","Dacia","Logan",2021,"Diesel"
"29651-أ-55","Peugeot","208",2023,"Essence"
"90922-ب-48","Renault","Clio",2018,"Essence"
"751-د-48","Toyota","RAV4",2015,"Diesel"
"43111-هـ-6","Ford","Fiesta",2020,"Essence"
"78131-س-2","Fiat","500",2022,"Essence"
"37421-ط-60","Volkswagen","Golf",2014,"Diesel"
"36932-و-33","Renault","Kangoo",2017,"Diesel"
"46822-م-44","Toyota","Corolla",2019,"Essence"
"88591-ي-72","Peugeot","Partner",2016,"Diesel"
"48731-أ-58","Volkswagen","Tiguan",2013,"Diesel"
"3201-ب-45","Hyundai","i10",2018,"Essence"
"73341-د-26","Fiat","Doblo",2024,"Diesel"
"17301-هـ-58","Citroen","Berlingo",2022,"Diesel"
"51352-س-33","Peugeot","Partner",2025,"Diesel"
"5171-ط-15","Peugeot","3008",2013,"Diesel"
"77102-و-55","Hyundai","i10",2014,"Essence"
"69381-م-40","Renault","Captur",2023,"Diesel"
"321-ي-55","Peugeot","Partner",2015,"Diesel"
"38111-أ-72","Volkswagen","Polo",2020,"Essence"
"69691-ب-1","Kia","Sportage",2024,"Diesel"
"46571-د-33","Dacia","Sandero",2012,"Diesel"
"62701-هـ-58","Peugeot","308",2025,"Diesel"
"20641-س-55","Kia","Sportage",2017,"Essence"
"97992-ط-38","Ford","Kuga",2023,"Diesel"
"58172-و-33","Volkswagen","Golf",2021,"Diesel"
"71601-م-60","Volkswagen","Golf",2011,"Diesel"
"7611-ي-6","Dacia","Duster",2014,"Diesel"
"35502-أ-26","Citroen","C4",2024,"Diesel"
"60991-ب-26","Renault","Clio",2022,"Diesel"
"52882-د-2","Renault","Clio",2021,"Essence"
"13322-هـ-26","Volkswagen","Golf",2013,"Diesel"
"10821-س-15","Peugeot","308",2012,"Diesel"
"41012-ط-72","Peugeot","Partner",2023,"Diesel"
"2951-و-45","Renault","Kangoo",2017,"Diesel"
"55581-م-48","Toyota","RAV4",2025,"Diesel"
"21302-ي-26","Dacia","Duster",2014,"Diesel"
"78842-أ-45","Toyota","Hilux",2021,"Diesel"
"34112-ب-33","Toyota","RAV4",2024,"Diesel"
"74862-د-20","Volkswagen","Passat",2015,"Diesel"
"10231-هـ-15","Dacia","Logan",2011,"Diesel"
"34361-س-50","Dacia","Duster",2019,"Diesel"
"59302-ط-26","Toyota","Yaris",2013,"Essence"
"50531-و-1","Fiat","500",2018,"Essence"
"72082-م-7","Renault","Kangoo",2020,"Diesel"
"72821-ي-36","Hyundai","i30",2013,"Diesel"
"26281-أ-36","Hyundai","Santa Fe",2012,"Diesel"
"83341-ب-50","Dacia","Sandero",2014,"Diesel"
"67192-د-44","Volkswagen","Passat",2013,"Diesel"
"51652-هـ-40","Renault","Clio",2015,"Diesel"
"23951-س-55","Volkswagen","Tiguan",2018,"Diesel"
"71222-ط-2","Renault","Clio",2017,"Diesel"
"35102-و-54","Renault","Kangoo",2019,"Diesel"
"35612-م-15","Peugeot","3008",2022,"Diesel"
"57511-ي-15","Fiat","Fiorino",2019,"Diesel"
"72312-أ-20","Renault","Megane",2013,"Diesel"
"71682-ب-48","Renault","Clio",2015,"Diesel"
"93081-د-45","Fiat","Panda",2021,"Essence"
"38482-هـ-15","Toyota","Yaris",2013,"Essence"
"42102-س-2","Peugeot","3008",2016,"Diesel"
"1012-ط-15","Ford","Ranger",2023,"Diesel"
"52741-و-6","Dacia","Duster",2016,"Diesel"
"63902-م-36","Dacia","Duster",2012,"Diesel"
"83722-ي-6","Renault","Kangoo",2014,"Diesel"
"73832-أ-50","Hyundai","Tucson",2011,"Diesel"
"48691-ب-38","Volkswagen","Golf",2010,"Diesel"
"77512-د-36","Renault","Megane",2021,"Diesel"
"52832-هـ-55","Peugeot","Partner",2011,"Diesel"
"92132-س-2","Fiat","Panda",2020,"Essence"
"81142-ط-54","Hyundai","Santa Fe",2012,"Diesel"
"64272-و-2","Peugeot","308",2024,"Diesel"
"10442-م-60","Hyundai","Tucson",2014,"Diesel"
"34151-ي-50","Peugeot","308",2021,"Essence"
"1802-أ-36","Citroen","C3",2015,"Essence"
"32732-ب-2","Citroen","C5 Aircross",2019,"Diesel"
"91741-د-6","Renault","Kangoo",2022,"Diesel"
"42231-هـ-7","Renault","Megane",2011,"Essence"
"64542-س-40","Renault","Kangoo",2020,"Diesel"
"29382-ط-38","Kia","Sorento",2024,"Diesel"
"82221-و-40","Volkswagen","Caddy",2013,"Diesel"
"68802-م-58","Ford","Focus",2022,"Essence"
"10032-ي-1","Dacia","Sandero",2015,"Diesel"
"13681-أ-50","Toyota","Hilux",2023,"Diesel"
"70462-ب-72","Volkswagen","Polo",2019,"Essence"
"69482-د-15","Ford","Ranger",2018,"Diesel"
"10001-هـ-72","Volkswagen","Golf",2021,"Diesel"
"89582-س-60","Ford","Ranger",2012,"Diesel"
"49912-ط-38","Citroen","C5 Aircross",2023,"Diesel"
"97812-و-50","Kia","Sportage",2021,"Diesel"
"18125-م-72","Toyota","Yaris",2011,"Essence"
"51342-ي-15","Renault","Kangoo",2019,"Diesel"
"38485-أ-58","Volkswagen","Caddy",2023,"Diesel"
"84902-ب-48","Volkswagen","Passat",2023,"Diesel"
"61892-د-15","Ford","Kuga",2018,"Diesel"
"69342-هـ-45","Renault","Megane",2020,"Essence"
"18132-س-72","Volkswagen","Passat",2011,"Diesel"
"82652-ط-54","Renault","Kangoo",2019,"Diesel"
"29612-و-38","Fiat","Doblo",2012,"Diesel"
"77561-م-36","Peugeot","2008",2014,"Essence"
"61962-ي-26","Renault","Clio",2017,"Essence"
"37072-أ-1","Volkswagen","Golf",2012,"Diesel"
"1752-ب-2","Volkswagen","Golf",2019,"Diesel"
"60982-د-36","Ford","Fiesta",2019,"Essence"
"88292-هـ-48","Toyota","Yaris",2011,"Essence"
"13262-س-60","Dacia","Dokker",2024,"Diesel"
"8012-ط-15","Kia","Sorento",2020,"Diesel"
"10001-و-15","Fiat","Panda",2020,"Essence"
"71532-م-38","Toyota","Corolla",2019,"Essence"
"52712-ي-36","Toyota","Yaris",2012,"Essence"
"78902-أ-58","Kia","Picanto",2023,"Essence"
"97182-ب-38","Hyundai","Santa Fe",2022,"Diesel"
"7005-د-1","Dacia","Sandero",2019,"Essence"
"34112-هـ-2","Volkswagen","Golf",2012,"Diesel"
"42151-س-6","Volkswagen","Passat",2013,"Diesel"
"68802-ط-15","Kia","Sportage",2024,"Diesel"
"82402-و-36","Peugeot","208",2019,"Essence"
"89021-م-26","Renault","Clio",2023,"Diesel"
"88362-ي-50","Kia","Picanto",2015,"Essence"
"50232-أ-1","Dacia","Sandero",2018,"Diesel"
"31112-ب-15","Citroen","C3",2019,"Essence"
"18212-د-60","Renault","Clio",2015,"Diesel"
"48582-هـ-50","Volkswagen","Caddy",2017,"Diesel"
"30882-س-48","Kia","Picanto",2017,"Essence"
"89382-ط-60","Renault","Kangoo",2015,"Diesel"
"82912-و-72","Volkswagen","Tiguan",2014,"Diesel"
"49931-م-60","Fiat","Doblo",2011,"Diesel"
"18932-ي-26","Citroen","C5 Aircross",2012,"Diesel"
"80022-أ-48","Volkswagen","Golf",2014,"Diesel"
"89341-ب-7","Fiat","500",2013,"Essence"
"58182-د-1","Renault","Clio",2011,"Essence"
"68821-هـ-15","Renault","Kangoo",2020,"Diesel"
"70022-س-45","Hyundai","i30",2015,"Diesel"
"18322-ط-1","Peugeot","2008",2019,"Essence"
"50922-و-54","Kia","Picanto",2016,"Essence"
"39102-م-55","Peugeot","208",2024,"Diesel"
"70421-ي-26","Hyundai","i30",2011,"Diesel"
"38182-أ-20","Volkswagen","Passat",2017,"Diesel"
"37101-ب-50","Dacia","Logan",2018,"Diesel"
"51392-د-7","Peugeot","Partner",2011,"Diesel"
"90122-هـ-2","Ford","Focus",2020,"Diesel"
"38501-س-20","Peugeot","Partner",2021,"Diesel"
"70022-ط-50","Dacia","Duster",2012,"Diesel"
"51892-و-6","Toyota","RAV4",2022,"Diesel"
"13391-م-15","Toyota","RAV4",2010,"Diesel"
"89312-ي-58","Peugeot","308",2013,"Diesel"
"48582-أ-50","Volkswagen","Passat",2019,"Diesel"
"51311-ب-2","Dacia","Logan",2021,"Diesel"
"10242-د-55","Renault","Megane",2019,"Essence"
"93381-هـ-15","Peugeot","Partner",2023,"Diesel"
"70892-س-1","Fiat","Fiorino",2014,"Diesel"
"13300-ط-6","Dacia","Sandero",2015,"Diesel"
"88312-و-40","Renault","Clio",2010,"Essence"
"10191-م-15","Dacia","Logan",2018,"Diesel"
"34112-ي-26","Volkswagen","Golf",2014,"Diesel"
"51912-أ-45","Peugeot","3008",2015,"Diesel"
"38212-ب-40","Fiat","Doblo",2017,"Diesel"
"10281-د-60","Hyundai","Tucson",2016,"Diesel"
"48201-هـ-2","Dacia","Dokker",2021,"Diesel"
"10292-س-55","Dacia","Sandero",2015,"Diesel"
"93832-ط-44","Renault","Captur",2022,"Diesel"
"71018-و-33","Peugeot","3008",2014,"Diesel"
"13925-م-60","Volkswagen","Caddy",2023,"Diesel"
"38501-ي-15","Peugeot","Partner",2018,"Diesel"
"51892-أ-50","Toyota","Yaris",2012,"Essence"
"93832-ب-15","Volkswagen","Passat",2010,"Diesel"
"10192-د-15","Fiat","Fiorino",2017,"Diesel"
"38181-هـ-38","Kia","Sportage",2022,"Diesel"
"48282-س-44","Ford","Focus",2021,"Diesel"
"51391-ط-72","Volkswagen","Golf",2015,"Diesel"
"13922-و-6","Toyota","Hilux",2014,"Diesel"
"38502-م-20","Volkswagen","Passat",2019,"Diesel"
"70822-ي-33","Dacia","Sandero",2010,"Diesel"
"89382-أ-50","Renault","Clio",2020,"Essence"
"10192-ب-15","Peugeot","308",2018,"Diesel"
"38482-د-55","Peugeot","Partner",2015,"Diesel"
"71892-هـ-1","Volkswagen","Golf",2011,"Diesel"
"48582-س-6","Dacia","Logan",2018,"Diesel"
"10292-ط-33","Renault","Kangoo",2021,"Diesel"
"93832-و-6","Toyota","Corolla",2023,"Essence"
"51392-م-26","Peugeot","208",2020,"Essence"
"13922-ي-50","Kia","Picanto",2019,"Essence"
"38502-أ-6","Dacia","Duster",2014,"Diesel"
"70822-ب-15","Volkswagen","Tiguan",2017,"Diesel"
"89382-د-33","Hyundai","i10",2020,"Essence"
"10192-هـ-45","Renault","Clio",2016,"Diesel"
"38482-س-44","Fiat","Panda",2022,"Essence"
"71892-ط-2","Peugeot","3008",2021,"Diesel"
"48582-و-60","Dacia","Sandero",2010,"Diesel"
"10292-م-50","Volkswagen","Passat",2023,"Diesel"
"93832-ي-33","Renault","Megane",2019,"Essence"
"51392-أ-55","Kia","Sportage",2022,"Diesel"
"13922-ب-72","Ford","Fiesta",2018,"Essence"
"38502-د-15","Toyota","RAV4",2015,"Diesel"
"70822-هـ-1","Volkswagen","Golf",2011,"Diesel"
"89382-س-20","Peugeot","Partner",2020,"Diesel"
"10192-ط-40","Renault","Clio",2014,"Diesel"
"38482-و-55","Dacia","Sandero",2015,"Diesel"
